Date,1,2,3,4,5
2003-01-31,,,,,
2003-02-28,,,,,
2003-03-31,,,,,
2003-04-30,,,,,
2003-05-31,,,,,
2003-06-30,,,,,
2003-07-31,,,,,
2003-08-31,,,,,
2003-09-30,,,,,
2003-10-31,,,,,
2003-11-30,,,,,
2003-12-31,,,,,
2004-01-31,,,,,
2004-02-29,,,,,
2004-03-31,,,,,
2004-04-30,,,,,
2004-05-31,,,,,
2004-06-30,,,,,
2004-07-31,,,,,
2004-08-31,,,,,
2004-09-30,,,,,
2004-10-31,,,,,
2004-11-30,,,,,
2004-12-31,,,,,
2005-01-31,,,,,
2005-02-28,,,,,
2005-03-31,,,,,
2005-04-30,,,,,
2005-05-31,,,,,
2005-06-30,,,,,
2005-07-31,,,,,
2005-08-31,,,,,
2005-09-30,,,,,
2005-10-31,,,,,
2005-11-30,,,,,
2005-12-31,0.5467902923573226,0.8454444626344658,1.0247951075428028,1.2175221386193533,2.113410285373713
2006-01-31,0.485176478379788,0.8105142739075937,0.9870470173948536,1.1801633777792058,2.0485619471692016
2006-02-28,0.42500426559991183,0.7711629215566964,0.954445318451467,1.1447308436474057,1.9938585433858858
2006-03-31,0.42781432735766456,0.764666312590457,0.9444445104706007,1.139757784010358,1.986698990476519
2006-04-30,0.3900709634762344,0.8165562479369242,1.0027062545041328,1.233832957942669,2.1579678469902217
2006-05-31,0.3406372503866571,0.7366762241736833,0.8819265095760582,1.0598366899546487,1.8123562855785436
2006-06-30,0.35386187562928845,0.7331627056006197,0.8776945596196855,1.0538817336187998,1.8656451259816231
2006-07-31,0.4489541004704741,0.8443157346014515,1.0170668999597494,1.2004506868771985,2.2051518688278136
2006-08-31,0.4475020098481118,0.8468113639460766,1.0184696170179945,1.2072059548308147,2.198897900754587
2006-09-30,0.4901191808056925,0.9093262707271572,1.100407412918781,1.3059738517517852,2.172048986352414
2006-10-31,0.46578336904652684,0.9120276933563407,1.1058889902573839,1.3230837405265738,2.183992239906505
2006-11-30,0.3261951633917043,0.8915969794931167,1.1091402179620393,1.3336403037539275,1.9450304893704964
2006-12-31,0.4496387504746268,0.9422130290768456,1.1602232415626437,1.387490714600682,2.318583313363
2007-01-31,0.49701229302505884,1.048578060057738,1.3005571409926058,1.5284212144807159,2.6027003393587895
2007-02-28,0.3916190999206184,0.9878739079584825,1.2230305757514892,1.446714532566768,2.4400677515207634
2007-03-31,0.41195748593498543,1.010336453564107,1.251671470262583,1.4772646098108164,2.504152534147484
2007-04-30,0.4253400026241261,0.8851273609713,1.0965713203460972,1.3085446896232646,2.166426837374289
2007-05-31,0.5349622895029608,1.0988087467286562,1.3670591687702744,1.6303859970086314,2.725479307995417
2007-06-30,0.5972926191687274,1.1023504582157464,1.3703030103722114,1.633740793288056,2.6689584645997697
2007-07-31,0.47836729127010225,0.809725928820491,1.000621535926625,1.175890213150038,1.8895098820648792
