Date,BAB Factor
2003-01-31,
2003-02-28,
2003-03-31,
2003-04-30,
2003-05-31,
2003-06-30,
2003-07-31,
2003-08-31,
2003-09-30,
2003-10-31,
2003-11-30,
2003-12-31,
2004-01-31,
2004-02-29,
2004-03-31,
2004-04-30,
2004-05-31,
2004-06-30,
2004-07-31,
2004-08-31,
2004-09-30,
2004-10-31,
2004-11-30,
2004-12-31,
2005-01-31,
2005-02-28,
2005-03-31,
2005-04-30,
2005-05-31,
2005-06-30,
2005-07-31,
2005-08-31,
2005-09-30,
2005-10-31,
2005-11-30,
2005-12-31,5.810462717477399
2006-01-31,0.03556783235381028
2006-02-28,-0.13865970755423673
2006-03-31,0.4007999169936325
2006-04-30,-0.3734672946788836
2006-05-31,-0.08961293652170382
2006-06-30,-0.17936315289122606
2006-07-31,-0.40494647811951273
2006-08-31,-0.029730179684343487
2006-09-30,0.13335183471029988
2006-10-31,-0.48720864713269346
2006-11-30,-0.484711798260419
2006-12-31,0.06406495355566219
2007-01-31,-0.008652836177692457
2007-02-28,-0.11584619262674373
2007-03-31,-0.05156955629484847
2007-04-30,0.25368586997920056
2007-05-31,0.009119312387915857
2007-06-30,0.1109057965348692
2007-07-31,0.2684209107228108
2007-08-31,-0.24963681984089914
2007-09-30,0.21369750114539654
2007-10-31,-0.22310159428263115
2007-11-30,0.1753185887666866
2007-12-31,0.049783640519280636
2008-01-31,-1.3011533184521198
2008-02-29,-0.6037938564631705
2008-03-31,0.22718661172852617
2008-04-30,0.5021642155380027
2008-05-31,-0.2531435839108381
2008-06-30,-1.5194076689933493
2008-07-31,0.2796755156172893
2008-08-31,-0.23324393634110385
2008-09-30,-0.28349692892838224
2008-10-31,0.239790056806777
2008-11-30,-0.7813938185698138
2008-12-31,0.8231671629741841
2009-01-31,-0.339958797774743
2009-02-28,-0.678721673631146
2009-03-31,1.3772548507665676
2009-04-30,0.7607724192361269
2009-05-31,0.13002569856934093
2009-06-30,1.821525547887347
2009-07-31,0.8737475288369121
2009-08-31,-0.21649337742763541
2009-09-30,-0.1448191618261088
2009-10-31,-0.4283643463495005
2009-11-30,0.24305627253363882
2009-12-31,-0.282961373437873
2010-01-31,0.8693506587097909
2010-02-28,0.4176126544555496
2010-03-31,0.06693743619861706
2010-04-30,-0.1886889828717006
2010-05-31,0.10818558240642362
2010-06-30,-0.30702182671975403
2010-07-31,0.13968430131917525
2010-08-31,0.23547643008168948
2010-09-30,-0.05158074082010097
2010-10-31,1.153520400509356
2010-11-30,0.039876053861471666
2010-12-31,-0.18178381918378672
2011-01-31,-0.13474610917786134
2011-02-28,0.3758986727949655
2011-03-31,0.2675877342765149
2011-04-30,0.22457453659796522
2011-05-31,0.03897047641852697
2011-06-30,0.13213440255327102
2011-07-31,-0.09354244951631005
2011-08-31,0.5951201571397902
2011-09-30,-1.6994286638198521
2011-10-31,-0.9581855002798438
2011-11-30,2.317507297932212
2011-12-31,0.4693627118868906
