Date,1,2,3,4,5
2003-01-31,,,,,
2003-02-28,,,,,
2003-03-31,,,,,
2003-04-30,,,,,
2003-05-31,,,,,
2003-06-30,,,,,
2003-07-31,,,,,
2003-08-31,,,,,
2003-09-30,,,,,
2003-10-31,,,,,
2003-11-30,,,,,
2003-12-31,,,,,
2004-01-31,,,,,
2004-02-29,,,,,
2004-03-31,,,,,
2004-04-30,,,,,
2004-05-31,,,,,
2004-06-30,,,,,
2004-07-31,,,,,
2004-08-31,,,,,
2004-09-30,,,,,
2004-10-31,,,,,
2004-11-30,,,,,
2004-12-31,,,,,
2005-01-31,,,,,
2005-02-28,,,,,
2005-03-31,,,,,
2005-04-30,,,,,
2005-05-31,,,,,
2005-06-30,,,,,
2005-07-31,,,,,
2005-08-31,,,,,
2005-09-30,,,,,
2005-10-31,,,,,
2005-11-30,,,,,
2005-12-31,0.8791525918666666,-0.2162362474,-0.05128278909097017,0.5230369585,16.6579192590625
2006-01-31,0.26964237683870956,-0.05514673130645159,-0.008758277467741929,-0.15432675161290316,0.41660456225
2006-02-28,0.12038945160317463,-0.8302010759999998,-1.0879048022331963,-1.0471533016507935,-0.30019772383076937
2006-03-31,-0.5070078389843748,0.56474170353125,0.04905646167187494,-0.16366997382054627,0.773913118265625
2006-04-30,0.8830367637538462,0.06284605687692311,0.4126037055538461,-0.44275865298865835,-0.2682789679701493
2006-05-31,0.48064368533846163,0.6048247226153847,0.39020852755384616,0.4370666413045022,0.10380937361764708
2006-06-30,1.3761991344153848,1.4215079257846155,1.8262287289384616,1.7597688750216367,0.8375711771911766
2006-07-31,0.8841467582615384,0.8322585864307693,1.083439799092308,1.0104917421328847,-0.4605152512461539
2006-08-31,-0.3961427919843751,0.29512546426562497,0.13295923728125003,0.06660557612443932,-0.418167706014706
2006-09-30,0.8811673239218751,0.549857202625,0.3502575175,0.9665013567679295,1.0113064626769233
2006-10-31,0.798917500578125,0.29670982007812496,0.37499101905517634,0.1096025029375,-0.5861340913846154
2006-11-30,0.29863616928125003,-0.24692738715625004,-0.396999722453125,0.04007601200858674,-1.2462568157692306
2006-12-31,0.404835502984375,0.15468641403124997,-0.04476382167187501,0.6787146324095952,0.3421893140588236
2007-01-31,0.197366119921875,-0.24959189809375,0.325529967421875,-0.6003722338774602,0.2897816159264705
2007-02-28,0.004124883843750066,-0.45429135912500007,-0.8734349140675404,-1.30412648890625,-0.2727139998235295
2007-03-31,0.1478530674923077,0.7434497085076923,0.38524222519229,0.25703314815384615,0.2325657287846154
2007-04-30,-0.354135769515625,0.16994782046874998,0.23099019147311062,0.06875933645312499,0.6695222036818183
2007-05-31,0.9788737679375,0.93563765815625,0.7990940816871859,1.2740423787500001,0.8459318179402985
2007-06-30,-0.013803093640625097,0.4329634976093749,0.8764489204558839,0.45373463392187496,0.38651871994029846
2007-07-31,0.5629047097031251,1.7575239241562501,1.6177239978161866,2.5810720162968748,1.0770805427656251
