Date,Return_0,Return_1,Return_2,Return_3,Return_4,Return_5,Return_6,Return_7,Return_8,Return_9,Beta_0,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Beta_7,Beta_8,Beta_9
2003-01-31,-0.008290865395188056,-0.002369468270758675,-0.0018642746487003343,0.0038042993101357623,-0.005575152416915123,-0.007262206710528027,-0.029182258761867558,-0.019472372567099404,0.025359360672574282,0.006321949956484376,,,,,,,,,,
2003-02-28,-0.011425440653438071,-0.010014148669157012,-0.02983527625550635,-0.031249793472194018,-0.02297812567849178,-0.01926839301917991,-0.021660587492747647,-0.018186307347772948,-0.02313716048353313,-0.02091806339141091,,,,,,,,,,
2003-03-31,0.01653616344884849,0.005287947457597739,0.017843688002942074,0.008774760890258316,0.009673975672072715,0.0016112464387706073,0.016408486737647988,0.013645755044846945,0.014368660977616698,0.01586366607008648,,,,,,,,,,
2003-04-30,0.0674947035460112,0.08198922664597802,0.09163349979800095,0.0824808142361721,0.10832009804704879,0.11882331930657687,0.12782319986339039,0.132763982057045,0.10578697062503066,0.12912295671943186,,,,,,,,,,
2003-05-30,0.10699458752115745,0.11308274327172821,0.12017090352189597,0.11395487496513945,0.10407751620859068,0.12488377309944973,0.1140151858300407,0.15268881582836982,0.15056312778854125,0.1703188978869633,,,,,,,,,,
2003-06-30,0.06540219706948847,0.055116115087434886,0.051604788552656544,0.03677010509839345,0.013111204633018597,0.03460554949439055,0.06669026274438046,0.039334521881243645,0.04663368574266369,0.07844966483500837,,,,,,,,,,
2003-07-31,0.055329534764972606,0.04314010303281675,0.06642059205246349,0.0781384091779132,0.08791068236654836,0.08248486312472128,0.09069807094593663,0.06096419045104924,0.06771650458396357,0.09128962328438373,,,,,,,,,,
2003-08-29,0.030826273598636142,0.05094784482060761,0.058108710709808796,0.06207645636777865,0.0468675875798959,0.04218940045268807,0.05646205296067314,0.05441116796804586,0.0674169406939913,0.06618718728015094,,,,,,,,,,
2003-09-30,0.02885931281067029,0.010219845206288774,0.013163095760203277,0.003974762699244903,-0.0006010380602050003,-0.0007444234282177474,-0.0037291139956363885,0.004159125907435303,0.02031233377082775,0.017703866660560702,,,,,,,,,,
2003-10-31,0.09097235012644281,0.07470866260177794,0.0824541945997423,0.07630091037358494,0.09364842871804083,0.09770795572576822,0.09175993933594716,0.08998852750588586,0.07841009389665736,0.0975170774862352,,,,,,,,,,
2003-11-28,0.05114622867883567,0.05397724754953315,0.05294552736707911,0.04130432435282345,0.04084685164017197,0.03876267031522557,0.03021013360700822,0.0528038114697362,0.0383105905158828,0.03593768456845054,,,,,,,,,,
2003-12-31,0.02836221710084633,0.04890666396471516,0.03599267895024792,0.03411346511578465,0.0327128885459141,0.04053770340591048,0.051647374350664015,0.06172335959048373,0.02988323418642668,0.03906796382167532,,,,,,,,,,
2004-01-30,0.07017081719608591,0.0591266160352487,0.04195693618222039,0.04854483203422121,0.03594006738283589,0.0378089780259567,0.058847128994428836,0.06718518740854898,0.060790121571921506,0.085157072982614,,,,,,,,,,
